"SamplingSize","Metrics","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"39","PERF1","2269.39525678785","1.41494281166007","11.4655383177001","3.14000426593475","43.4966421293434","4.86508977392409","52.75239809801","4.93541412058258","1.86329072713852","0.0148564072858512"
"39","PERF2","2269.39525678785","1.41494281166007","15.73434128674","3.53372206961235","23.1322860863887","1.9193979834317","22.777566725077","1.5851680080955","1.88498452731541","0.0191453521965225"
"78","PERF1","2252.53440639614","1.32222064151765","12.4417733885825","2.42383514361132","24.2507131978269","3.54801589006144","46.0851396453136","3.77755366699483","2.89817265227989","0.0274388764167752"
"78","PERF2","2252.53440639614","1.32222064151765","11.3185136419229","1.32516970530543","17.7285439940531","0.938895037407099","20.3559008380705","0.722388902675773","2.89909831966673","0.031206410590748"
"117","PERF1","2234.50112700513","1.26257135480363","13.7426344397328","3.55897431830364","19.8965712011217","1.66327138684403","29.7443334025744","1.58526070771692","3.15265025032891","0.0472079083913203"
"117","PERF2","2234.50112700513","1.26257135480363","11.5228361345427","1.20528003853911","15.7048405556822","0.563243739689997","17.2206561635531","0.346130311532571","3.12783057349069","0.0371888953532587"
"156","PERF1","2216.44036093349","1.20924918773107","10.8289473888432","3.09262097339257","16.4644028548405","1.50781623303348","29.0044105859759","1.36312088089676","3.46185599906104","0.0681925794356252"
"156","PERF2","2216.44036093349","1.20924918773107","10.7407034427103","0.978263767430313","12.9630918869458","0.602504395189025","16.9179105405687","0.275915267414476","3.45985645055771","0.0379420722133271"
"195","PERF1","2199.31777918992","1.49753802033179","9.87005794818134","1.92649498134542","16.2822474426284","1.49217588366319","29.4264379008851","1.34483852929408","3.58476602179664","0.0499325831762991"
"195","PERF2","2199.31777918992","1.49753802033179","9.36769450684015","0.571218767910527","11.8042324663685","0.400255840787144","17.0867602978544","0.326540840803207","3.57947366578238","0.0415207493679198"
"234","PERF1","2181.51366615884","1.34606344216637","9.43855039659477","1.63642105763378","14.0340227787273","0.868539494035155","28.2268446921687","1.32151356333033","3.9313477145301","0.0600987250846748"
"234","PERF2","2181.51366615884","1.34606344216637","8.44620834204705","0.688330697970073","10.6691554254232","0.372319415018993","16.6533879181833","0.28651489787397","3.90956696442195","0.0557752420427717"
"273","PERF1","2164.17860417837","1.1597472159347","10.4611759918982","1.86323230219695","14.124505526639","0.97494057823007","28.5088238528718","1.13274761355496","4.15095212629863","0.0440701971734082"
"273","PERF2","2164.17860417837","1.1597472159347","9.31488628250821","0.760352177738233","10.0149055110483","0.235877346180127","16.9894418496991","0.241312149871248","4.18665561505726","0.0537847659221768"
"312","PERF1","2145.02433248","0.970968033797526","9.41876555582764","1.24288334502977","13.6129428481042","1.2363629908797","29.2052560860138","1.17295150415529","4.38751546825681","0.0704178046045011"
"312","PERF2","2145.02433248","0.970968033797526","7.8629168752721","0.521503738757066","9.54316548306809","0.386980404189387","17.296156824911","0.299351886918519","4.44469737155097","0.0802445606353344"
"351","PERF1","2130.41658364564","1.6418595721471","7.74101001084846","1.55785882356746","12.3511599942727","0.527459909089849","26.6749445652067","1.1670187130758","4.84855203969138","0.0647703154480588"
"351","PERF2","2130.41658364564","1.6418595721471","7.91014701670434","0.593780199736891","9.28853004362545","0.210652483191178","17.0138351216085","0.220713255831127","4.91739130020142","0.0770963166015645"
"PERF1","","","","","","","","","","",""
"","Distance with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.796882550441094","","","","","","","",""
"","","SpearMan's correlation","0.983333333333333","","","","","","","",""
"","Validation with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.479434182489314","","","","","","","",""
"","","SpearMan's correlation","0.916666666666667","","","","","","","",""
"PERF2","","","","","","","","","","",""
"","Distance with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.921846020141609","","","","","","","",""
"","","SpearMan's correlation","1","","","","","","","",""
"","Validation with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.967840445699455","","","","","","","",""
"","","SpearMan's correlation","0.95","","","","","","","",""
