"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","Metrics","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
"18","1","1","0","30","0.01","PERF1","1276.16176470565","2.52376382390915","65.9875464970713","52.5234203521603","0.551409006118774"
"18","1","2","1","30","1e-04","PERF2","1276.16176470565","15.3735252404824","21.3769390961619","94.6213940339238","0.544386148452759"
"18","2","2","1","30","0.01","PERF1","1275.45588235271","14.4186105642574","49.0145686405786","55.6047945654793","0.545405149459839"
"18","2","2","1","30","0.01","PERF2","1275.45588235271","47.2768655826607","36.8968017375673","59.6649604152075","0.545403957366943"
"18","3","8","3","30","0.01","PERF1","1274.33823529389","4.23512193982036","55.0839093446121","50.1686020513585","0.541385173797607"
"18","3","2","1","30","0.01","PERF2","1274.33823529389","2.55608886986748","40.3266925461643","42.892771125609","0.543386220932007"
"18","4","1","0","30","0.01","PERF1","1276.57352941153","21.0192843797131","66.0680065697331","66.916784314742","0.547370195388794"
"18","4","5","2","30","0.01","PERF2","1276.57352941153","13.5056108655143","66.0972350458342","79.5433393224085","0.546408891677856"
"18","5","4","1","30","0.01","PERF1","1275.69117647036","0.265190044383676","49.1529954987375","47.281515501094","0.548389911651611"
"18","5","2","1","30","0.01","PERF2","1275.69117647036","1159.75818489961","138.031497812811","105.312620482326","0.550395011901855"
"18","6","1","0","30","0.01","PERF1","1278.27941176447","2.65049411677757","64.9482456816804","66.2961490918542","0.551391839981079"
"18","6","2","1","30","0.01","PERF2","1278.27941176447","7.95724325228253","34.4989030329195","42.5429343031862","0.544386863708496"
"18","7","8","3","30","0.01","PERF1","1275.33823529389","40.8836811438009","61.8743233549179","54.6499815553211","0.545405864715576"
"18","7","4","1","30","0.01","PERF2","1275.33823529389","282.681404153149","99.6779766318405","33.6753090627907","0.554374933242798"
"18","8","14","5","30","0.01","PERF1","1279.57352941153","0.657877054427947","66.4062780144965","66.4841819744078","0.54538893699646"
"18","8","7","2","30","0.01","PERF2","1279.57352941153","758.713115450871","82.4143196854259","95.6446167309492","0.549408912658691"
"18","9","17","6","30","0.01","PERF1","1276.69117647036","27.4985380882786","67.829793420395","60.2993514330299","0.543385982513428"
"18","9","1","0","30","0.01","PERF2","1276.69117647036","37.2158233588501","169.775318371856","128.143089817","0.562381029129028"
"18","10","2","1","30","0.001","PERF1","1277.63235294095","57.1242112859081","62.9215072618546","70.0395831369336","0.622424840927124"
"18","10","1","0","30","0.01","PERF2","1277.63235294095","20.7752964938173","198.347979371841","119.409610419339","0.550407886505127"
"18","11","8","3","30","0.01","PERF1","1273.98529411742","0.514779407312976","55.1317216080735","55.6519216412993","0.56041693687439"
"18","11","8","3","30","0.01","PERF2","1273.98529411742","3.09025403851157","142.295639497875","142.014015957441","0.552394151687622"
"18","12","9","3","30","0.01","PERF1","1274.63235294095","10.2335087396389","78.4336631449026","85.764468527296","0.545387983322144"
"18","12","6","2","30","0.01","PERF2","1274.63235294095","3.03209670667718","92.9861697527105","93.0426275393232","0.544384002685547"
"18","13","2","1","30","1e-04","PERF1","1275.74999999977","8.14645542832535","73.5514891991558","68.1966101888597","0.552394151687622"
"18","13","2","1","30","0.01","PERF2","1275.74999999977","0.542730554892494","173.958015213214","165.912512220486","0.556396961212158"
"18","14","2","1","30","0.01","PERF1","1274.45588235271","22.1091569281631","63.9512062685196","58.7010450973059","0.548389911651611"
"18","14","5","2","30","0.01","PERF2","1274.45588235271","1642.69678288204","80.0573810861847","29.6494703141398","0.556400060653687"
"18","15","1","0","30","0.01","PERF1","1273.80882352918","46.5905864694368","73.8714429211721","63.95482445145","0.55138897895813"
"18","15","5","2","30","0.01","PERF2","1273.80882352918","3.37224934365099","72.5991624336519","63.7880718542665","0.549391984939575"
"18","16","2","1","30","0.001","PERF1","1274.3970588233","2.42644520010116","73.2566861006649","71.0342497145867","0.545387983322144"
"18","16","8","3","30","0.01","PERF2","1274.3970588233","0.345519091276815","113.189857454964","111.267498090853","0.551393032073975"
"18","17","1","0","30","0.01","PERF1","1274.33823529389","17.1719155628988","77.7068026587095","81.7451283693755","0.542386054992676"
"18","17","8","3","30","0.01","PERF2","1274.33823529389","106.738857392493","85.2099018544306","48.7674581613916","0.542368173599243"
"18","18","11","4","30","0.01","PERF1","1276.10294117624","3.68559165445058","53.2622109596255","40.6862815389695","0.546368837356567"
"18","18","2","1","30","0.01","PERF2","1276.10294117624","702.541055467086","132.923951719086","124.334377735996","0.703500986099243"
"18","19","1","0","30","0.01","PERF1","1277.69117647036","22.8630535853112","59.8625150010551","52.9495995740735","0.549390077590942"
"18","19","14","5","30","0.01","PERF2","1277.69117647036","2.08820660932158","228.898305577922","87.6828033169223","0.540366888046265"
"18","20","7","2","30","0.01","PERF1","1274.86764705859","34.4195732609339","52.6436132069464","54.2511452806748","0.543371915817261"
"18","20","17","6","30","0.01","PERF2","1274.86764705859","4.97418556930589","128.739786852","160.076417596564","0.540402889251709"
"18","21","1","0","30","0.01","PERF1","1276.33823529389","26.3863170780117","65.3930895322411","72.8534922978928","0.546389102935791"
"18","21","5","2","30","1e-04","PERF2","1276.33823529389","26.3331807141369","61.6073065488223","63.6559149144736","0.545371055603027"
"18","22","1","0","30","0.01","PERF1","1277.63235294095","7.07284806362179","55.1570101237517","40.4860933028319","0.556410074234009"
"18","22","2","1","30","0.01","PERF2","1277.63235294095","0.0343916682127971","117.99926392988","117.605499773014","0.576430082321167"
"18","23","5","2","30","0.01","PERF1","1275.51470588212","12.3934381363451","43.884124868689","47.3447765409404","0.558396100997925"
