"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","Metrics","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
"19","1","8","3","30","0.01","PERF1","15123.4280160637","5.83169159655912","29.674985675394","29.1671462895048","0.643477916717529"
"19","1","10","3","30","0.01","PERF2","15123.4280160637","2.84299038344934","4.15383554518145","4.88526618045388","0.678501844406128"
"19","2","11","4","30","0.01","PERF1","15122.0706952936","0.747108564660344","31.0473388245257","32.3509254960143","0.727499961853027"
"19","2","10","3","30","0.01","PERF2","15122.0706952936","0.806778930386952","4.13406151965642","3.88029754205162","0.779554128646851"
"19","3","1","0","30","0.01","PERF1","15122.3277998808","17.0035805459949","41.1123423053852","34.5743886232671","0.756537914276123"
"19","3","14","5","30","0.01","PERF2","15122.3277998808","0.582748179112313","4.15891719539309","4.79277760076721","0.757520914077759"
"19","4","10","3","30","0.01","PERF1","15123.9320054429","11.8085628467065","35.1241299538339","32.4160626807381","0.675499200820923"
"19","4","6","2","30","0.01","PERF2","15123.9320054429","5.85099241146225","4.63322886762726","4.86951440568982","0.745530843734741"
"19","5","2","1","30","0.001","PERF1","15123.6352023825","2.08732829862473","34.2523631203986","35.1739283160588","0.705502033233643"
"19","5","8","3","30","0.01","PERF2","15123.6352023825","2.19048853294881","4.34895012195389","4.64344829190944","0.694513082504272"
"19","6","11","4","30","0.01","PERF1","15121.6138993006","0.245744106104145","34.2790338845047","32.6524975196421","0.69648003578186"
"19","6","1","0","30","0.01","PERF2","15121.6138993006","1.25966438640876","7.21963627240204","4.38278827580875","0.781557083129883"
"19","7","1","0","30","0.01","PERF1","15122.0583622226","3.74293098130306","34.6179654100978","24.4506405628543","0.743511915206909"
"19","7","2","1","30","0.01","PERF2","15122.0583622226","1.27996504852779","4.57657416744992","4.13535021250797","1.00971913337708"
"19","8","2","1","30","0.001","PERF1","15122.1508410108","23.0874147526355","32.2372683001354","41.3590603462635","0.691490888595581"
"19","8","2","1","30","0.001","PERF2","15122.1508410108","1.31118986111599","4.66637365398267","5.1431482966267","0.837615013122559"
"19","9","9","3","30","0.01","PERF1","15121.1387700735","1.99073128149061","31.9752076604772","29.7017882872117","0.723499059677124"
"19","9","1","0","30","0.01","PERF2","15121.1387700735","0.0496140117772039","7.56793117913707","4.61226199309304","0.65444803237915"
"19","10","1","0","30","0.01","PERF1","15121.7546947521","85.5234267276865","40.4728002330475","26.9675947187652","0.776535034179688"
"19","10","5","2","30","0.01","PERF2","15121.7546947521","0.866120354158735","4.73133197552253","4.80407153874178","0.724515914916992"
