"SamplingSize","Metrics","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"26","PERF1","81.5337797619042","0.649982061174194","8.4385908671129","2.11042981927965","22.6225053108383","5.23462137328848","18.094952549132","1.41663331445405","0.87483583177839","0.0177142813994726"
"26","PERF2","81.5337797619042","0.649982061174194","2.04082109764603","0.459209319060204","3.80667831234236","0.752510717536258","7.65352111611181","0.871500928771207","0.883521148136684","0.0233761228128449"
"52","PERF1","69.1462829280646","0.426793829589492","9.20182162110204","1.96877292706654","16.1739266615646","1.0984775512391","17.8231803661541","0.805254610615652","1.69249073948179","0.0182757591960859"
"52","PERF2","69.1462829280646","0.426793829589492","1.4368437912151","0.16106718057785","2.06849067221233","0.137181541012948","6.51117241243543","0.741398092466622","1.71721494639361","0.0253649807719528"
"78","PERF1","57.197640006707","0.485891325895646","7.77643420833584","1.0498284266351","12.7524837209681","0.787243728924562","16.377951113452","0.728512404776445","1.89620466743197","0.0223621083069167"
"78","PERF2","57.197640006707","0.485891325895646","1.11622121981322","0.182075879540719","1.89693075117112","0.467633673419652","7.68530650693059","0.514220118541327","1.89270196642195","0.0174579397480835"
"104","PERF1","45.0295529381967","0.31925108807295","7.62936846698708","1.17256706405696","10.4166281891682","0.842748705076235","16.1949634338544","0.811179726281429","2.04799504790987","0.0466913977325567"
"104","PERF2","45.0295529381967","0.31925108807295","1.20338776618703","0.0760931969298352","1.40371139358784","0.0606881987746682","3.28214583884765","0.540717405479378","2.05703357287816","0.0395669180037586"
"130","PERF1","32.7252136752136","0.202417755472201","6.47070491261853","0.717724517954088","7.91039321783758","0.76957141505821","16.7489463990017","1.5259716511412","2.2540659052985","0.0682404032149748"
"130","PERF2","32.7252136752136","0.202417755472201","1.06118417883324","0.0695072140811122","1.3793732762714","0.0946436012871458","2.75225765760801","0.108625483631512","2.22393942730767","0.0442835345426921"
"156","PERF1","20.3863737851327","0.178543514324771","6.14422642677397","0.974883786080436","6.51584829426943","0.899003799429192","17.2252963278518","1.93612341443154","2.2733975819179","0.0328819786144822"
"156","PERF2","20.3863737851327","0.178543514324771","1.02452057403489","0.0473024115154711","1.20150158786263","0.102118283400785","2.68664147525703","0.0970423327700463","2.30185231992177","0.0474512960298476"
"PERF1","","","","","","","","","","",""
"","Distance with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.967167213599574","","","","","","","",""
"","","SpearMan's correlation","1","","","","","","","",""
"","Validation with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.820467888048421","","","","","","","",""
"","","SpearMan's correlation","0.942857142857143","","","","","","","",""
"PERF2","","","","","","","","","","",""
"","Distance with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.86411797377559","","","","","","","",""
"","","SpearMan's correlation","1","","","","","","","",""
"","Validation with Testing Error","","","","","","","","","",""
"","","Pearson's correlation","0.966782022385574","","","","","","","",""
"","","SpearMan's correlation","0.942857142857143","","","","","","","",""
